co_mun;tiposeade;estadual;federal;municipal;particular;total_geral
3509502;Diagnose e Terapia;1;;2;173;176
3509502;Hospital;1;;2;34;37
3509502;Outros;5;;13;111;129
3509502;Pronto Atendimento;;;4;1;5
3509502;Unidade Básica de Saúde;;;71;;71
3509502;Unidade de Saúde Mental ;;;14;;14
3509502;Unidade Móvel;;;17;4;21
3509502;Vigilância em Saúde;;;8;;8
3509601;Clínica;;;4;16;20
3509601;Consultório Isolado;;;;16;16
3509601;Diagnose e Terapia;;;;5;5
3509601;Hospital;;;1;;1
3509601;Outros;;;3;2;5
3509601;Unidade Básica de Saúde;;;9;;9
3509601;Unidade de Saúde Mental ;;;1;;1
3509601;Vigilância em Saúde;;;1;;1
3509700;Clínica;;;3;8;11
3509700;Consultório Isolado;;;;57;57
3509700;Diagnose e Terapia;;;;6;6
3509700;Hospital;;;1;1;2
3509700;Outros;;;2;2;4
3509700;Unidade Básica de Saúde;;;15;;15
3509700;Unidade de Saúde Mental ;;;1;;1
3509700;Unidade Móvel;;;3;1;4
3509700;Vigilância em Saúde;;;1;;1
3509809;Clínica;;;1;;1
3509809;Outros;;;1;;1
3509809;Unidade Básica de Saúde;;;3;;3
3509908;Clínica;;;;1;1
3509908;Consultório Isolado;;;;4;4
3509908;Outros;;;1;;1
3509908;Unidade Básica de Saúde;;;6;;6
3509957;Outros;;;1;;1
3509957;Unidade Básica de Saúde;;;2;;2
3510005;Clínica;;;2;4;6
3510005;Consultório Isolado;;;;57;57
3510005;Diagnose e Terapia;;;;16;16
3510005;Hospital;;;;1;1
3510005;Outros;;;4;1;5
3510005;Unidade Básica de Saúde;;;6;;6
3510005;Unidade de Saúde Mental ;;;1;;1
3510104;Outros;;;1;;1
3510104;Unidade Básica de Saúde;;;1;;1
3510153;Diagnose e Terapia;;;1;;1
3510153;Outros;;;1;;1
3510153;Unidade Básica de Saúde;;;3;;3
3510203;Clínica;;;6;6;12
3510203;Consultório Isolado;;;;27;27
3510203;Diagnose e Terapia;;;1;4;5
3510203;Hospital;;;;1;1
3510203;Outros;;;6;4;10
3510203;Unidade Básica de Saúde;;;10;;10
3510203;Unidade de Saúde Mental ;;;1;;1
3510203;Unidade Móvel;;;1;;1
3510302;Clínica;;;2;2;4
3510302;Consultório Isolado;;;;5;5
3510302;Diagnose e Terapia;;;;1;1
3510302;Outros;;;2;;2
3510302;Pronto Atendimento;;;1;;1
3510302;Unidade Básica de Saúde;2;;4;;6
3510302;Unidade de Saúde Mental ;;;1;;1
3510401;Clínica;;;3;11;14
3510401;Consultório Isolado;;;;96;96
3510401;Diagnose e Terapia;;;3;25;28
3510401;Hospital;;;;2;2
3510401;Outros;;;1;4;5
3510401;Pronto Atendimento;;;;1;1
3510401;Unidade Básica de Saúde;;;8;;8
3510401;Unidade de Saúde Mental ;;;2;;2
3510500;Clínica;;;9;48;57
3510500;Consultório Isolado;;;6;116;122
3510500;Diagnose e Terapia;;;2;25;27
3510500;Hospital;2;;;4;6
3510500;Outros;1;;6;18;25
3510500;Pronto Atendimento;;;3;;3
3510500;Unidade Básica de Saúde;2;;13;1;16
3510500;Unidade de Saúde Mental ;;;2;;2
3510500;Unidade Móvel;;;4;3;7
3510500;Vigilância em Saúde;1;;1;;2
3510609;Clínica;1;;4;33;38
3510609;Consultório Isolado;;;;73;73
3510609;Diagnose e Terapia;;;;13;13
3510609;Hospital;1;;;1;2
3510609;Outros;;;5;3;8
3510609;Pronto Atendimento;;;2;;2
3510609;Unidade Básica de Saúde;;;17;;17
3510609;Unidade de Saúde Mental ;;;3;;3
3510609;Unidade Móvel;;;9;;9
3510609;Vigilância em Saúde;;;2;;2
3510708;Consultório Isolado;;;;10;10
3510708;Diagnose e Terapia;;;1;2;3
3510708;Hospital;;;;1;1
3510708;Outros;;;2;;2
3510708;Unidade Básica de Saúde;;;6;;6
3510708;Unidade Móvel;;;1;;1
3510807;Clínica;2;;1;7;10
3510807;Consultório Isolado;;;;63;63
3510807;Diagnose e Terapia;;;;7;7
3510807;Hospital;1;;;1;2
3510807;Outros;;;2;3;5
3510807;Pronto Atendimento;;;1;;1
3510807;Unidade Básica de Saúde;1;;7;;8
3510807;Unidade de Saúde Mental ;1;;1;;2
3510807;Vigilância em Saúde;;;1;;1
3510906;Clínica;;;1;;1
3510906;Outros;;;2;;2
3510906;Unidade Básica de Saúde;;;2;;2
3511003;Clínica;;;;4;4
3511003;Consultório Isolado;;;;21;21
3511003;Diagnose e Terapia;;;1;2;3
3511003;Hospital;;;;1;1
3511003;Unidade Básica de Saúde;;;5;;5
3511003;Vigilância em Saúde;;;1;;1
3511102;Clínica;1;;6;265;272
3511102;Consultório Isolado;;;;289;289
3511102;Diagnose e Terapia;;;;18;18
3511102;Hospital;;;;12;12
3511102;Outros;;;6;11;17
3511102;Pronto Atendimento;;;1;;1
3511102;Unidade Básica de Saúde;;;23;;23
3511102;Unidade de Saúde Mental ;;;3;;3
3511102;Unidade Móvel;;;4;;4
3511102;Vigilância em Saúde;;;1;;1
3511201;Clínica;;;1;;1
3511201;Consultório Isolado;;;;7;7
3511201;Diagnose e Terapia;;;;1;1
3511201;Outros;;;1;;1
3511201;Unidade Básica de Saúde;;;2;;2
3511201;Unidade Móvel;;;1;;1
3511300;Clínica;;;1;3;4
3511300;Consultório Isolado;;;;7;7
3511300;Diagnose e Terapia;;;;1;1
3511300;Outros;;;1;;1
3511300;Unidade Básica de Saúde;;;3;2;5
3511300;Unidade Móvel;;;1;;1
3511300;Vigilância em Saúde;;;1;;1
3511409;Clínica;;;;2;2
3511409;Consultório Isolado;;;;16;16
3511409;Diagnose e Terapia;;;;5;5
3511409;Hospital;;;;1;1
3511409;Outros;;;1;;1
3511409;Unidade Básica de Saúde;2;;7;4;13
3511409;Unidade Móvel;;;1;;1
3511508;Clínica;;;5;17;22
3511508;Consultório Isolado;;;;114;114
3511508;Diagnose e Terapia;;;1;6;7
3511508;Hospital;;;;1;1
3511508;Outros;;;3;2;5
3511508;Unidade Básica de Saúde;;;9;;9
3511508;Unidade de Saúde Mental ;;;1;;1
3511607;Clínica;;;3;1;4
3511607;Consultório Isolado;;;;9;9
3511607;Diagnose e Terapia;;;;2;2
3511607;Hospital;;;;1;1
3511607;Outros;;;2;;2
3511607;Unidade Básica de Saúde;;;4;;4
3511607;Unidade de Saúde Mental ;;;1;;1
3511706;Clínica;;;1;3;4
3511706;Consultório Isolado;;;;8;8
3511706;Diagnose e Terapia;;;;2;2
3511706;Hospital;;;;2;2
3511706;Outros;;;1;;1
3511706;Unidade Básica de Saúde;;;5;;5
3511706;Unidade de Saúde Mental ;;;1;;1
3511904;Consultório Isolado;;;1;4;5
3511904;Diagnose e Terapia;;;;1;1
3511904;Hospital;;;;1;1
3511904;Outros;;;2;1;3
3511904;Unidade Básica de Saúde;;;1;;1
3511904;Vigilância em Saúde;;;1;;1
3512001;Clínica;;;1;1;2
3512001;Consultório Isolado;;;;34;34
3512001;Diagnose e Terapia;;;;3;3
3512001;Hospital;;;;1;1
3512001;Outros;;;2;1;3
3512001;Pronto Atendimento;;;1;;1
3512001;Unidade Básica de Saúde;;;6;;6
3512001;Unidade Móvel;;;1;;1
3512100;Clínica;;;;1;1
3512100;Consultório Isolado;;;;3;3
3512100;Diagnose e Terapia;;;1;1;2
3512100;Outros;;;2;;2
3512100;Unidade Básica de Saúde;;;4;;4
3512100;Unidade Móvel;;;1;;1
3512209;Clínica;;;1;2;3
3512209;Consultório Isolado;;;;19;19
3512209;Diagnose e Terapia;;;;4;4
3512209;Hospital;;;;1;1
3512209;Outros;;;2;;2
3512209;Unidade Básica de Saúde;;;7;1;8
3512209;Unidade de Saúde Mental ;;;1;;1
3512209;Unidade Móvel;;;2;;2
3512209;Vigilância em Saúde;;;1;;1
3512308;Clínica;;;1;1;2
3512308;Consultório Isolado;;;;23;23
3512308;Diagnose e Terapia;;;1;6;7
3512308;Hospital;;;1;;1
3512308;Outros;;;3;;3
3512308;Unidade Básica de Saúde;;;7;;7
3512407;Clínica;;;3;7;10
3512407;Consultório Isolado;;;;30;30
3512407;Diagnose e Terapia;;;1;3;4
3512407;Outros;;;3;;3
3512407;Pronto Atendimento;;;1;;1
3512407;Unidade Básica de Saúde;;;7;;7
3512407;Unidade de Saúde Mental ;;;1;;1
3512407;Unidade Móvel;;;1;;1
3512506;Outros;;;1;;1
3512506;Unidade Básica de Saúde;;;1;;1
3512605;Outros;;;3;;3
3512605;Unidade Básica de Saúde;;;3;;3
3512704;Consultório Isolado;;;;1;1
3512704;Outros;;;1;;1
3512704;Unidade Básica de Saúde;;;2;;2
3512704;Unidade Móvel;;;1;;1
3512803;Clínica;;;4;14;18
3512803;Consultório Isolado;;;;38;38
3512803;Diagnose e Terapia;;;;6;6
3512803;Hospital;;;;1;1
3512803;Outros;;;4;3;7
3512803;Unidade Básica de Saúde;;;9;;9
3512803;Unidade de Saúde Mental ;;;2;;2
3512803;Vigilância em Saúde;;;2;;2
3512902;Clínica;;;1;;1
3512902;Consultório Isolado;;;;1;1
3512902;Diagnose e Terapia;;;;2;2
3512902;Outros;;;2;;2
3512902;Unidade Básica de Saúde;;;3;1;4
3513009;Clínica;;;8;36;44
3513009;Consultório Isolado;;;;187;187
3513009;Diagnose e Terapia;;;;18;18
3513009;Hospital;1;;;4;5
3513009;Outros;;;4;8;12
3513009;Pronto Atendimento;;;4;;4
3513009;Unidade Básica de Saúde;;;26;5;31
3513009;Unidade de Saúde Mental ;;;3;;3
3513009;Unidade Móvel;;;5;;5
3513009;Vigilância em Saúde;;;4;;4
3513108;Clínica;;;6;2;8
3513108;Consultório Isolado;;;1;61;62
3513108;Diagnose e Terapia;;;;4;4
3513108;Hospital;;;;1;1
3513108;Outros;;;2;12;14
3513108;Pronto Atendimento;;;1;;1
3513108;Unidade Básica de Saúde;;;7;;7
3513108;Unidade Móvel;;;1;;1
3513108;Vigilância em Saúde;;;4;;4
3513207;Clínica;;;1;;1
3513207;Consultório Isolado;;;1;5;6
3513207;Diagnose e Terapia;;;1;;1
3513207;Outros;;;1;;1
3513207;Unidade Básica de Saúde;;;4;;4
3513306;Outros;;;1;;1
3513306;Unidade Básica de Saúde;;;2;;2
3513405;Clínica;;;9;67;76
3513405;Consultório Isolado;;;1;201;202
3513405;Diagnose e Terapia;;;1;24;25
3513405;Hospital;;;;3;3
3513405;Outros;;;5;10;15
3513405;Unidade Básica de Saúde;;;14;;14
3513405;Unidade de Saúde Mental ;;;1;;1
3513405;Unidade Móvel;;;2;2;4
3513405;Vigilância em Saúde;;;1;;1
3513504;Clínica;;;7;13;20
3513504;Consultório Isolado;;;;110;110
3513504;Diagnose e Terapia;;;1;8;9
3513504;Hospital;;;1;;1
3513504;Outros;;;3;1;4
3513504;Pronto Atendimento;;;3;1;4
3513504;Unidade Básica de Saúde;;;18;;18
3513504;Unidade de Saúde Mental ;;;3;;3
3513504;Unidade Móvel;;;3;;3
3513504;Vigilância em Saúde;;;1;;1
3513603;Clínica;;;1;2;3
3513603;Consultório Isolado;;;;7;7
3513603;Diagnose e Terapia;;;1;2;3
3513603;Hospital;;;;1;1
3513603;Outros;;;2;1;3
3513603;Unidade Básica de Saúde;;;7;;7
3513603;Unidade de Saúde Mental ;;;1;;1
3513603;Unidade Móvel;;;1;;1
3513702;Clínica;;;3;5;8
3513702;Consultório Isolado;;;;106;106
3513702;Diagnose e Terapia;;;;4;4
3513702;Hospital;;;;1;1
3513702;Outros;;;2;4;6
3513702;Pronto Atendimento;;;1;1;2
3513702;Unidade Básica de Saúde;;;11;;11
3513702;Unidade de Saúde Mental ;;;1;;1
3513702;Vigilância em Saúde;;;1;;1
3513801;Clínica;1;;2;51;54
3513801;Consultório Isolado;;;;101;101
3513801;Diagnose e Terapia;;;;13;13
3513801;Hospital;1;;2;2;5
3513801;Outros;1;;5;7;13
3513801;Pronto Atendimento;;;3;2;5
3513801;Unidade Básica de Saúde;1;;21;;22
3513801;Unidade de Saúde Mental ;;;5;;5
3513801;Unidade Móvel;;;12;;12
3513801;Vigilância em Saúde;;;2;;2
3513850;Outros;;;2;;2
3513850;Unidade Básica de Saúde;;;1;;1
3513900;Clínica;;;;8;8
3513900;Consultório Isolado;;;;3;3
3513900;Hospital;;;;1;1
3513900;Outros;;;1;1;2
3513900;Unidade Básica de Saúde;;;7;;7
3513900;Unidade Móvel;;;1;1;2
3514007;Clínica;;;;3;3
3514007;Consultório Isolado;;;;3;3
3514007;Diagnose e Terapia;;;;2;2
3514007;Outros;;;2;3;5
3514007;Unidade Básica de Saúde;;;2;;2
3514106;Clínica;;;1;5;6
3514106;Consultório Isolado;;;;30;30
3514106;Diagnose e Terapia;;;;6;6
3514106;Hospital;;;;1;1
3514106;Outros;;;3;;3
3514106;Unidade Básica de Saúde;;;5;;5
3514106;Unidade de Saúde Mental ;;;1;;1
3514205;Outros;;;1;;1
3514205;Unidade Básica de Saúde;;;2;;2
3514304;Clínica;;;;3;3
3514304;Consultório Isolado;;;;7;7
3514304;Diagnose e Terapia;;;;1;1
3514304;Hospital;;;1;;1
3514304;Outros;;;1;;1
3514304;Pronto Atendimento;;;1;;1
3514304;Unidade Básica de Saúde;;;4;;4
3514403;Clínica;1;;1;20;22
3514403;Consultório Isolado;;;;216;216
3514403;Diagnose e Terapia;;;2;11;13
3514403;Hospital;;;;1;1
3514403;Outros;;;1;6;7
3514403;Pronto Atendimento;;;1;1;2
3514403;Unidade Básica de Saúde;1;;12;;13
3514403;Unidade de Saúde Mental ;;;2;;2
3514403;Vigilância em Saúde;;;1;;1
3514502;Clínica;;;;1;1
3514502;Consultório Isolado;;;;36;36
3514502;Diagnose e Terapia;;;;5;5
3514502;Hospital;;;;1;1
3514502;Outros;;;1;;1
3514502;Unidade Básica de Saúde;;;4;;4
3514502;Unidade de Saúde Mental ;;;1;;1
3514502;Unidade Móvel;;;1;;1
3514601;Consultório Isolado;;;;1;1
3514601;Outros;;;2;;2
3514601;Unidade Básica de Saúde;;;2;;2
3514601;Unidade Móvel;;;1;;1
3514700;Consultório Isolado;;;;1;1
3514700;Diagnose e Terapia;;;;1;1
3514700;Outros;;;2;;2
3514700;Pronto Atendimento;;;1;;1
3514700;Unidade Básica de Saúde;;;2;;2
3514809;Clínica;;;1;;1
3514809;Consultório Isolado;;;;1;1
3514809;Diagnose e Terapia;;;;1;1
3514809;Outros;;;2;;2
3514809;Pronto Atendimento;;;1;;1
3514809;Unidade Básica de Saúde;;;9;;9
3514809;Unidade de Saúde Mental ;;;1;;1
3514809;Vigilância em Saúde;;;1;;1
3514908;Clínica;;;1;2;3
3514908;Consultório Isolado;;;;5;5
3514908;Diagnose e Terapia;;;;2;2
3514908;Outros;;;2;;2
3514908;Pronto Atendimento;;;1;;1
3514908;Unidade Básica de Saúde;;;5;;5
3514924;Consultório Isolado;;;;1;1
3514924;Outros;;;1;;1
3514924;Unidade Básica de Saúde;;;1;;1
3514924;Unidade Móvel;;;1;;1
3514957;Consultório Isolado;;;;1;1
3514957;Diagnose e Terapia;;;;2;2
3514957;Outros;;;1;;1
3514957;Unidade Básica de Saúde;;;1;;1
3515004;Clínica;;;7;7;14
3515004;Consultório Isolado;;;1;138;139
3515004;Diagnose e Terapia;;;;2;2
3515004;Hospital;;;2;1;3
3515004;Outros;;;7;;7
3515004;Pronto Atendimento;;;1;;1
3515004;Unidade Básica de Saúde;;;19;;19
3515004;Unidade de Saúde Mental ;;;3;;3
3515004;Unidade Móvel;;;4;;4
3515004;Vigilância em Saúde;;;3;;3
3515103;Clínica;;;4;8;12
3515103;Consultório Isolado;;;;10;10
3515103;Diagnose e Terapia;;;;2;2
3515103;Outros;;;3;4;7
3515103;Pronto Atendimento;;;1;;1
3515103;Unidade Básica de Saúde;;;13;;13
3515103;Unidade de Saúde Mental ;;;1;;1
3515103;Unidade Móvel;;;3;;3
3515103;Vigilância em Saúde;;;1;;1
3515129;Consultório Isolado;;;;1;1
3515129;Outros;;;1;1;2
3515129;Unidade Básica de Saúde;;;1;;1
3515129;Vigilância em Saúde;;;1;;1
3515152;Clínica;;;1;4;5
3515152;Consultório Isolado;;;;32;32
3515152;Diagnose e Terapia;;;1;1;2
3515152;Outros;;;4;;4
3515152;Pronto Atendimento;;;1;;1
3515152;Unidade Básica de Saúde;;;5;;5
3515152;Unidade de Saúde Mental ;;;1;;1
3515186;Clínica;;;1;26;27
3515186;Consultório Isolado;;;;134;134
3515186;Diagnose e Terapia;;;2;4;6
3515186;Hospital;;;;3;3
3515186;Outros;;;3;3;6
3515186;Unidade Básica de Saúde;;;7;;7
3515186;Unidade de Saúde Mental ;;;2;;2
3515186;Unidade Móvel;;;1;;1
3515194;Diagnose e Terapia;;;;1;1
3515194;Outros;;;1;;1
3515194;Unidade Básica de Saúde;;;3;;3
3515202;Clínica;;;;4;4
3515202;Consultório Isolado;;;;15;15
3515202;Diagnose e Terapia;;;;1;1
3515202;Hospital;;;;1;1
3515202;Outros;;;2;;2
3515202;Unidade Básica de Saúde;;;3;;3
3515202;Unidade Móvel;;;1;;1
3515301;Outros;;;1;;1
3515301;Unidade Básica de Saúde;;;1;;1
3515350;Clínica;;;1;1;2
3515350;Consultório Isolado;;;;6;6
3515350;Diagnose e Terapia;;;;1;1
3515350;Outros;;;3;;3
3515350;Unidade Básica de Saúde;;;5;;5
3515350;Vigilância em Saúde;;;1;;1
3515400;Clínica;;;;3;3
3515400;Consultório Isolado;;;;22;22
3515400;Diagnose e Terapia;;;;4;4
3515400;Hospital;;;;1;1
3515400;Outros;;;2;7;9
3515400;Unidade Básica de Saúde;;;4;;4
3515400;Unidade Móvel;;;1;;1
3515400;Vigilância em Saúde;;;1;;1
3515509;Clínica;2;;5;166;173
3515509;Consultório Isolado;;;;276;276
3515509;Diagnose e Terapia;;;1;28;29
3515509;Hospital;;;;3;3
3515509;Outros;;;8;24;32
3515509;Pronto Atendimento;;;1;;1
3515509;Unidade Básica de Saúde;;;18;;18
3515509;Unidade de Saúde Mental ;;;2;;2
3515509;Unidade Móvel;;;4;;4
3515509;Vigilância em Saúde;;;1;;1
3515608;Clínica;;;1;;1
3515608;Consultório Isolado;;;;3;3
3515608;Diagnose e Terapia;;;;1;1
3515608;Outros;;;1;;1
3515608;Unidade Básica de Saúde;;;3;;3
3515657;Outros;;;2;;2
3515657;Unidade Básica de Saúde;;;1;;1
3515707;Clínica;;;8;5;13
3515707;Consultório Isolado;;;;26;26
3515707;Diagnose e Terapia;;;;7;7
3515707;Hospital;1;;;;1
3515707;Outros;;;5;1;6
3515707;Unidade Básica de Saúde;;;14;;14
3515707;Unidade de Saúde Mental ;;;2;;2
3515707;Unidade Móvel;;;4;;4
3515707;Vigilância em Saúde;;;3;;3
3515806;Clínica;;;1;;1
3515806;Outros;;;1;;1
3515806;Unidade Básica de Saúde;;;1;;1
3515905;Consultório Isolado;;;;1;1
3515905;Outros;;;1;;1
3515905;Unidade Básica de Saúde;;;1;;1
3516002;Consultório Isolado;;;;6;6
3516002;Diagnose e Terapia;;;1;3;4
3516002;Hospital;;;;1;1
3516002;Outros;;;2;2;4
3516002;Unidade Básica de Saúde;1;;5;;6
3516002;Unidade de Saúde Mental ;;;1;;1
3516101;Clínica;;;1;;1
3516101;Diagnose e Terapia;;;1;;1
3516101;Outros;;;3;;3
3516101;Unidade Básica de Saúde;1;;2;;3
3516200;Clínica;1;;7;68;76
3516200;Consultório Isolado;1;;2;347;350
3516200;Diagnose e Terapia;;;2;23;25
3516200;Hospital;;;;4;4
3516200;Outros;4;;6;15;25
3516200;Pronto Atendimento;;;4;;4
3516200;Unidade Básica de Saúde;1;;23;;24
3516200;Unidade de Saúde Mental ;;;2;;2
3516200;Unidade Móvel;1;;5;1;7
3516200;Vigilância em Saúde;;;3;;3
3516309;Clínica;;;2;6;8
3516309;Consultório Isolado;;;;46;46
3516309;Diagnose e Terapia;;;1;4;5
3516309;Hospital;1;;;1;2
3516309;Outros;;;3;4;7
3516309;Pronto Atendimento;;;1;;1
3516309;Unidade Básica de Saúde;;;13;;13
3516309;Unidade de Saúde Mental ;;;3;;3
3516309;Unidade Móvel;;;1;;1
3516309;Vigilância em Saúde;;;1;;1
3516408;Clínica;1;;6;9;16
3516408;Consultório Isolado;1;;3;53;57
3516408;Diagnose e Terapia;;;1;10;11
3516408;Hospital;2;;;1;3
3516408;Outros;2;;7;1;10
3516408;Pronto Atendimento;;;1;;1
3516408;Unidade Básica de Saúde;7;;16;;23
3516408;Unidade de Saúde Mental ;;;3;;3
3516408;Vigilância em Saúde;1;;1;;2
3516507;Clínica;;;1;;1
3516507;Outros;;;1;1;2
3516507;Unidade Básica de Saúde;;;1;;1
3516606;Consultório Isolado;;;;5;5
3516606;Hospital;;;;1;1
3516606;Outros;;;2;;2
3516606;Unidade Básica de Saúde;2;;2;;4
3516705;Clínica;;;4;4;8
3516705;Consultório Isolado;;;;45;45
3516705;Diagnose e Terapia;;;;8;8
3516705;Hospital;;;;3;3
3516705;Outros;;;3;2;5
3516705;Pronto Atendimento;;;1;;1
3516705;Unidade Básica de Saúde;;;13;;13
3516705;Unidade de Saúde Mental ;;;2;;2
3516705;Unidade Móvel;;;1;;1
3516705;Vigilância em Saúde;;;1;;1
3516804;Outros;;;1;;1
3516804;Unidade Básica de Saúde;;;1;;1
3516853;Consultório Isolado;;;;1;1
3516853;Outros;;;1;;1
3516853;Pronto Atendimento;;;1;;1
3516853;Unidade Básica de Saúde;;;3;;3
3516903;Clínica;;;1;2;3
3516903;Consultório Isolado;;;;8;8
3516903;Diagnose e Terapia;;;1;3;4
3516903;Hospital;;;;1;1
3516903;Outros;;;2;;2
3516903;Pronto Atendimento;;;1;;1
3516903;Unidade Básica de Saúde;;;5;;5
3517000;Consultório Isolado;;;;11;11
3517000;Hospital;;;;1;1
3517000;Outros;;;1;;1
3517000;Unidade Básica de Saúde;1;;5;;6
3517109;Outros;;;1;;1
3517109;Unidade Básica de Saúde;;;2;;2
3517208;Clínica;;;1;;1
3517208;Consultório Isolado;;;;7;7
3517208;Diagnose e Terapia;;;;1;1
3517208;Outros;;;1;;1
3517208;Unidade Básica de Saúde;;;5;;5
3517307;Outros;;;2;;2
3517307;Pronto Atendimento;;;1;;1
3517307;Unidade Básica de Saúde;;;3;;3
3517406;Clínica;;;2;10;12
3517406;Consultório Isolado;;;;68;68
3517406;Diagnose e Terapia;;;1;5;6
3517406;Hospital;;;;1;1
3517406;Outros;;;3;2;5
3517406;Unidade Básica de Saúde;;;7;;7
3517406;Unidade de Saúde Mental ;;;1;;1
3517406;Unidade Móvel;;;1;;1
3517505;Clínica;;;;2;2
3517505;Consultório Isolado;;;;7;7
3517505;Diagnose e Terapia;;;;1;1
3517505;Outros;;;2;;2
3517505;Pronto Atendimento;;;1;;1
3517505;Unidade Básica de Saúde;;;9;;9
3517505;Unidade de Saúde Mental ;;;1;;1
3517604;Clínica;;;1;1;2
3517604;Consultório Isolado;;;;1;1
3517604;Diagnose e Terapia;;;1;2;3
3517604;Hospital;;;1;;1
3517604;Outros;;;4;;4
3517604;Unidade Básica de Saúde;;;7;;7
3517604;Unidade de Saúde Mental ;;;1;;1
3517604;Unidade Móvel;;;1;;1
3517703;Clínica;;;2;2;4
3517703;Consultório Isolado;;;;41;41
3517703;Diagnose e Terapia;;;;3;3
3517703;Hospital;;;;1;1
3517703;Outros;;;4;;4
3517703;Pronto Atendimento;;;1;;1
3517703;Unidade Básica de Saúde;;;7;;7
3517703;Unidade de Saúde Mental ;;;1;;1
3517703;Vigilância em Saúde;;;1;;1
3517802;Clínica;;;;1;1
3517802;Consultório Isolado;;;;6;6
3517802;Hospital;;;;1;1
3517802;Outros;;;2;;2
3517802;Unidade Básica de Saúde;;;2;;2
3517802;Vigilância em Saúde;;;1;;1
3517901;Clínica;;;1;;1
3517901;Consultório Isolado;;;;7;7
3517901;Diagnose e Terapia;;;1;2;3
3517901;Outros;;;1;2;3
3517901;Pronto Atendimento;;;1;;1
3517901;Unidade Básica de Saúde;;;3;;3
3517901;Unidade Móvel;;;1;;1
3518008;Consultório Isolado;;;;1;1
3518008;Diagnose e Terapia;;;;1;1
3518008;Outros;;;1;;1
3518008;Unidade Básica de Saúde;;;1;;1
3518008;Vigilância em Saúde;;;1;;1
3518107;Outros;;;2;;2
3518107;Pronto Atendimento;;;1;;1
3518107;Unidade Básica de Saúde;;;3;;3
3518206;Clínica;;;;4;4
3518206;Consultório Isolado;;;10;48;58
3518206;Diagnose e Terapia;;;;9;9
3518206;Hospital;;;;1;1
3518206;Outros;;;2;2;4
3518206;Unidade Básica de Saúde;;;4;;4
3518206;Unidade de Saúde Mental ;;;1;;1
3518206;Vigilância em Saúde;;;1;;1
3518305;Clínica;;;1;4;5
3518305;Consultório Isolado;;;;7;7
3518305;Diagnose e Terapia;;;;2;2
3518305;Hospital;;;;1;1
3518305;Outros;;;2;1;3
3518305;Unidade Básica de Saúde;;;3;;3
3518305;Unidade de Saúde Mental ;;;1;;1
3518305;Unidade Móvel;;;1;;1
3518305;Vigilância em Saúde;;;1;;1
3518404;Clínica;;;4;37;41
3518404;Consultório Isolado;1;;1;306;308
3518404;Diagnose e Terapia;;;1;21;22
3518404;Hospital;;1;;5;6
3518404;Outros;1;;4;22;27
3518404;Pronto Atendimento;;;1;;1
3518404;Unidade Básica de Saúde;;;18;;18
3518404;Unidade de Saúde Mental ;;;2;;2
3518404;Unidade Móvel;;;4;1;5
3518404;Vigilância em Saúde;1;;;;1
3518503;Consultório Isolado;;;;1;1
3518503;Diagnose e Terapia;;;;7;7
3518503;Outros;;;3;;3
3518503;Pronto Atendimento;;;1;;1
3518503;Unidade Básica de Saúde;2;;5;;7
3518503;Unidade de Saúde Mental ;;;1;;1
3518503;Unidade Móvel;;;1;;1
3518602;Clínica;;;4;10;14
3518602;Consultório Isolado;;;;33;33
3518602;Diagnose e Terapia;;;1;2;3
3518602;Hospital;;;;1;1
3518602;Outros;;;2;;2
3518602;Unidade Básica de Saúde;1;;6;;7
3518602;Unidade de Saúde Mental ;;;1;;1
3518602;Unidade Móvel;;;1;;1
3518701;Clínica;;;11;72;83
3518701;Consultório Isolado;;;;235;235
3518701;Diagnose e Terapia;;;1;47;48
3518701;Hospital;1;;1;5;7
3518701;Outros;;;7;23;30
3518701;Pronto Atendimento;;;5;2;7
3518701;Unidade Básica de Saúde;;;23;1;24
3518701;Unidade de Saúde Mental ;;;4;;4
3518701;Unidade Móvel;;;13;1;14
3518701;Vigilância em Saúde;;;2;;2
3518800;Clínica;3;;18;305;326
3518800;Consultório Isolado;;;;412;412
3518800;Diagnose e Terapia;;;2;67;69
3518800;Hospital;2;;3;13;18
3518800;Outros;1;;11;44;56
3518800;Pronto Atendimento;;;9;1;10
3518800;Unidade Básica de Saúde;4;;69;2;75
3518800;Unidade de Saúde Mental ;;;8;;8
3518800;Unidade Móvel;;;23;2;25
3518800;Vigilância em Saúde;;;3;;3
3518859;Clínica;;;1;;1
3518859;Consultório Isolado;;;;1;1
3518859;Outros;;;3;;3
3518859;Pronto Atendimento;;;1;;1
3518859;Unidade Básica de Saúde;;;4;;4
3518859;Unidade Móvel;;;1;;1
3518909;Outros;;;1;;1
3518909;Unidade Básica de Saúde;;;2;;2
3519006;Clínica;;;1;;1
3519006;Consultório Isolado;;;;5;5
3519006;Diagnose e Terapia;;;;1;1
3519006;Hospital;;;;1;1
3519006;Outros;;;2;;2
3519006;Pronto Atendimento;;;1;;1
3519006;Unidade Básica de Saúde;;;4;;4
3519006;Unidade de Saúde Mental ;;;1;;1
3519006;Vigilância em Saúde;;;1;;1
3519055;Clínica;;;1;3;4
3519055;Consultório Isolado;;;;27;27
3519055;Diagnose e Terapia;;;;1;1
3519055;Outros;;;2;1;3
3519055;Unidade Básica de Saúde;;;4;;4
